red,green,blue,lum
R=238,G=121,B=23,L=669
R=237,G=119,B=24,L=669
R=238,G=120,B=24,L=669
R=235,G=120,B=24,L=668
R=225,G=119,B=23,L=667
R=202,G=116,B=22,L=667
R=193,G=112,B=22,L=665
R=164,G=103,B=19,L=663
R=161,G=97,B=17,L=662
R=151,G=93,B=18,L=661
R=151,G=91,B=17,L=660
R=149,G=91,B=19,L=661
R=140,G=88,B=16,L=660
R=125,G=79,B=15,L=659
R=126,G=81,B=13,L=659
R=126,G=78,B=14,L=658
R=143,G=88,B=16,L=660
R=191,G=111,B=23,L=665
R=208,G=118,B=24,L=667
R=225,G=124,B=23,L=669
R=228,G=118,B=23,L=667
R=231,G=118,B=22,L=667
R=236,G=119,B=21,L=669
R=176,G=107,B=20,L=664
R=211,G=114,B=23,L=665
R=185,G=109,B=20,L=664
R=191,G=111,B=20,L=665
R=203,G=116,B=23,L=666
R=207,G=117,B=21,L=666
R=204,G=115,B=21,L=664
R=209,G=117,B=24,L=665
R=223,G=122,B=23,L=667
R=228,G=121,B=22,L=667
R=228,G=122,B=26,L=668
R=168,G=100,B=17,L=662
R=155,G=93,B=15,L=661
R=145,G=90,B=17,L=661
R=121,G=77,B=11,L=657
R=112,G=70,B=13,L=657
R=99,G=63,B=12,L=657
R=81,G=51,B=9,L=654
R=74,G=48,B=8,L=654
R=58,G=39,B=9,L=652
R=39,G=31,B=8,L=652
R=27,G=20,B=5,L=649
R=23,G=16,B=4,L=649
R=20,G=14,B=2,L=647
R=22,G=16,B=5,L=649
R=20,G=14,B=4,L=648
R=23,G=16,B=4,L=648
R=34,G=24,B=6,L=649
R=67,G=45,B=8,L=652
R=119,G=73,B=12,L=657
R=195,G=112,B=20,L=665
R=230,G=118,B=22,L=666
R=233,G=118,B=23,L=669
R=232,G=114,B=21,L=667
R=231,G=113,B=20,L=666
R=232,G=114,B=22,L=668
R=227,G=108,B=21,L=666
R=228,G=110,B=21,L=667
R=226,G=109,B=21,L=666
R=229,G=110,B=20,L=667
R=227,G=109,B=21,L=666
R=231,G=110,B=19,L=667
R=232,G=113,B=22,L=668
R=230,G=112,B=22,L=667
R=232,G=114,B=22,L=668
R=233,G=115,B=22,L=668
R=219,G=120,B=23,L=666
R=136,G=83,B=15,L=659
R=83,G=52,B=9,L=653
R=64,G=42,B=9,L=653
R=63,G=42,B=9,L=653
R=73,G=48,B=9,L=653
R=143,G=90,B=17,L=660
R=221,G=124,B=22,L=668
R=230,G=122,B=20,L=668
R=1,G=1,B=0,L=646
R=232,G=122,B=23,L=668
